0.5,-0.6,0
0.4,-0.7,1
0.0,-0.9,2
-0.2,-1.0,3
-0.4,-1.2,4
-0.6,-1.3,5
-1.1,-1.5,6
-1.3,-1.6,7
-1.5,-1.8,8
-1.8,-2.0,9
-1.9,-2.4,10
-2.0,-2.6,11
-2.0,-3.0,12
-1.9,-3.2,13
-1.7,-3.7,14
-1.4,-3.8,15
-1.1,-3.9,16
-0.5,-3.9,17
-0.4,-3.8,18
-0.2,-3.7,19
0.0,-3.5,20
0.3,-3.3,21
0.4,-3.2,22
0.5,-3.0,23
0.8,-2.9,24
0.9,-2.7,25
1.1,-2.5,26
1.3,-2.3,27
1.5,-2.2,28
1.7,-2.1,29
1.9,-2.0,30
2.1,-1.9,31
2.4,-1.8,32
2.6,-1.7,33
2.9,-1.7,34
3.2,-1.6,35
3.4,-1.5,36
3.6,-1.3,37
3.7,-1.0,38
3.7,-0.8,39
3.7,-0.6,40
3.7,-0.4,41
3.5,-0.1,42
3.3,0.2,43
3.0,0.4,44
2.7,0.4,45
2.4,0.4,46
2.3,0.4,47
2.1,0.2,48
1.9,0.2,49
1.8,0.1,50
1.6,0.0,51
1.4,-0.2,52
1.2,-0.3,53
1.0,-0.4,54
0.7,-0.5,55
0.6,-0.5,56
